"","local_authority","phase_type","affordability","number_developments","rurality","housing_type","himidlow","number_beds","pupil_yield"
"358","LA02","SS","Total","ndev_200to499","Total","Total","Total","Total",0
"359","LA02","SS","Total","ndev_500to999","Total","Total","Total","Total",0
"360","LA02","SS","Total","ndev_1000","Total","Total","Total","Total",0
"361","LA03","All Phases","Total","ndev_10to49","Total","Total","Total","Total",1.0734
"362","LA03","All Phases","Total","ndev_50to99","Total","Total","Total","Total",1.1727
"363","LA03","All Phases","Total","ndev_100to199","Total","Total","Total","Total",0.8
"364","LA03","All Phases","Total","ndev_200to499","Total","Total","Total","Total",0
"365","LA03","All Phases","Total","ndev_500to999","Total","Total","Total","Total",0
"366","LA03","All Phases","Total","ndev_1000","Total","Total","Total","Total",0
"367","LA03","AP","Total","ndev_10to49","Total","Total","Total","Total",0.0046
"368","LA03","AP","Total","ndev_50to99","Total","Total","Total","Total",0
"369","LA03","AP","Total","ndev_100to199","Total","Total","Total","Total",0.0067
"370","LA03","AP","Total","ndev_200to499","Total","Total","Total","Total",0
"371","LA03","AP","Total","ndev_500to999","Total","Total","Total","Total",0
"372","LA03","AP","Total","ndev_1000","Total","Total","Total","Total",0
"373","LA03","EY","Total","ndev_10to49","Total","Total","Total","Total",0.5505
"374","LA03","EY","Total","ndev_50to99","Total","Total","Total","Total",0.5683
"375","LA03","EY","Total","ndev_100to199","Total","Total","Total","Total",0.4067
